NCB,ISIN,ISSUER
BE,XS2297190097,Tyco Electronics Group S.A.
BE,XS2301127119,Akelius Residential Property Finance B.V.
BE,XS2303052695,CTP B.V.
BE,XS2303070911,H&M Finance B.V. 
BE,XS2306082293,WPC Eurobond B.V.
BE,XS2306601746,EasyJet FinCo BV
BE,XS2307573993,Paccar Financial Europe B.V.
BE,XS2308616841,DSV Panalpina Finance B.V.
BE,XS2310411090,Citycon Treasury B.V.
BE,XS2310797696,Simon International Finance
BE,XS2317288301,Koninklijke Ahold Delhaize N.V.
BE,XS2320459063,Imperial Brands Finance Netherlands B.V.
BE,XS2322438990,Czech Gas Networks Investments S.a.r.l.
BE,XS2324836878,Wolters Kluwer N.V.
BE,XS2325733413,"Stellantis N.V, Amsterdam"
BE,XS2327298217,LSEG Netherlands BV
BE,XS2327299298,LSEG Netherlands BV
BE,XS2327299884,LSEG Netherlands BV
BE,XS2328418186,Holcim Finance (Luxembg) S.A.
BE,XS2331315635,ENEXIS Holding NV
BE,XS2332186001,REN Finance B.V.
BE,XS2332234413,SGS Nederland Holding BV
DE,DE000A0Z2A12,EWE AG
DE,DE000A11QSB8,Daimler AG
DE,DE000A13R8M3,METRO AG
DE,DE000A13SL26,SAP SE
DE,DE000A13SL34,SAP SE
DE,DE000A14KJF5,SAP SE
DE,DE000A1684V3,Deutsche Börse AG
DE,DE000A169G15,Daimler AG
DE,DE000A169NB4,Daimler AG
DE,DE000A169NC2,Daimler AG
DE,DE000A182VS4,Vonovia Finance B.V.
DE,DE000A182VT2,Vonovia Finance B.V.
DE,DE000A185QA5,Evonik Finance B.V.
DE,DE000A185QB3,Evonik Finance B.V.
DE,DE000A188WW1,BASF Finance Europe N.V.
DE,DE000A189ZX0,Vonovia Finance B.V.
DE,DE000A18V146,Vonovia Finance B.V.
DE,DE000A190ND6,Daimler Intl Finance B.V.
DE,DE000A190NE4,Daimler Intl Finance B.V.
DE,DE000A192ZH7,Vonovia Finance B.V.
DE,DE000A194DC1,Daimler Intl Finance B.V.
